university,code
"kocaeli̇ sağlik ve teknoloji̇ 
üni̇versi̇tesi̇",144
kocaeli̇ sağlik ve teknoloji̇ üni̇versi̇tesi̇,144
kocaeli̇ sağlik ve teknoloji̇ üni̇versi̇tesi̇***,144
"konya gida ve tarim 
üni̇versi̇tesi̇",146
konya gida ve tarim üni̇versi̇tesi̇,146
konya gida ve tarim üni̇versi̇tesi̇***,146
konya gida ve tarim üni̇versi̇tesi̇*** (i̇ngilizce),146
konya gıda ve tarım ü.,146
konya gıda ve tarım üniversitesi,146
konya teknik ü.,147
konya teknik üniversitesi,147
koç ü.,148
koç üniversitesi,148
koç üni̇versi̇tesi̇,148
koç üni̇versi̇tesi̇  (i̇ngilizce),148
koç üni̇versi̇tesi̇ (i̇ngilizce),148
kto karatay ü.,149
kto karatay üniversitesi,149
kto karatay üni̇versi̇tesi̇,149
kütahya dumlupınar ü.,150
kütahya dumlupınar üniversitesi,150
kütahya sağlık bilimleri ü.,151
kütahya sağlık bilimleri üniversitesi,151
kırklareli ü.,152
kırklareli üniversitesi,152
kırıkkale ü.,152
kırıkkale üniversitesi,152
kırşehir ahi evran ü.,153
kırşehir ahi evran üniversitesi,153
lefke avrupa üni̇versi̇tesi̇,154
lokman hekim ü.,155
lokman hekim üniversitesi,155
lokman heki̇m üni̇versi̇tesi̇,155
lokman heki̇m üni̇versi̇tesi̇***,155
malatya turgut özal ü.,156
malatya turgut özal üniversitesi,156
malatya turgut özal üniversitesi,156
maltepe ü.,157
maltepe üniversitesi,157
maltepe üni̇versi̇tesi̇,157
maltepe üni̇versi̇tesi̇  (i̇ngilizce),157
maltepe üni̇versi̇tesi̇ (i̇ngilizce),157
manisa celâl bayar ü.,158
manisa celâl bayar üniversitesi,158
mardin artuklu ü.,159
mardin artuklu üniversitesi,159
mardin artuklu üniversitesi,159
marmara ü.,160
marmara üniversitesi,160
mef ü.,161
mef üniversitesi,161
mef üni̇versi̇tesi̇,161
mef üni̇versi̇tesi̇  (i̇ngilizce),161
mef üni̇versi̇tesi̇ (i̇ngilizce),161
mersin ü.,162
mersin üniversitesi,162
mimar sinan güzel sanatlar ü.,163
mimar sinan güzel sanatlar üniversitesi,163
mimar sinan güzel sanatlar üniversitesi,163
munzur ü.,164
munzur üniversitesi,164
munzur üniversitesi,164
muğla sıtkı koçman ü.,165
muğla sıtkı koçman üniversitesi,165
muş alparslan ü.,166
muş alparslan üniversitesi,166
muş alparslan üniversitesi,166
necmettin erbakan ü.,167
necmettin erbakan üniversitesi,167
nevşehir hacı bektaş veli ü.,168
nevşehir hacı bektaş veli üniversitesi,168
niğde ömer halisdemir ü.,169
niğde ömer halisdemir üniversitesi,169
nişantaşı ü.,170
nişantaşı üniversitesi,170
ni̇şantaşi üni̇versi̇tesi̇,170
ni̇şantaşi üni̇versi̇tesi̇ (i̇ngilizce),170
nuh naci yazgan ü.,171
nuh naci yazgan üniversitesi,171
nuh naci̇ yazgan üni̇versi̇tesi̇,171
ondokuz mayıs ü.,172
ondokuz mayıs üniversitesi,172
ordu ü.,173
ordu üniversitesi,173
orta doğu teknik ü.,174
orta doğu teknik üniversitesi,174
osmaniye korkut ata ü.,175
osmaniye korkut ata üniversitesi,175
osmaniye korkut ata üniversitesi,175
ostim teknik ü.,176
ostim teknik üniversitesi,176
ostim teknik üniversitesi,176
